step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label
502,7,11.48,0.0,0,Low
503,7,11.94,0.0,0,Low
504,8,11.21,0.0,1,Low
505,7,11.41,0.0,0,Low
506,6,12.62,0.0,0,Low
507,7,11.42,0.0,1,Low
508,7,11.9,0.0,0,Low
509,7,12.62,0.0,0,Low
510,8,11.06,0.0,1,Low
511,8,11.86,0.0,0,Low
512,7,13.13,0.0,0,Low
513,8,11.98,0.0,1,Low
514,7,10.64,0.0,0,Low
515,7,11.09,0.0,0,Low
516,8,10.13,0.0,1,Low
517,8,10.64,0.0,0,Low
518,8,10.56,0.0,0,Low
519,9,9.65,0.0,1,Low
520,9,10.56,0.0,0,Low
521,9,11.87,0.0,0,Low
522,8,12.21,0.0,0,Low
523,8,11.54,0.0,0,Low
524,8,10.73,1.0,1,Low
525,9,9.69,3.0,3,Low
526,10,8.91,5.0,3,Low
527,10,9.27,8.0,3,Low
528,9,8.33,9.0,3,Low
529,8,8.31,11.0,2,Low
530,8,8.13,0.0,0,Low
531,8,7.93,0.0,0,Low
532,8,7.57,0.0,0,Low
533,8,6.35,1.0,1,Low
534,9,5.09,0.0,1,Low
535,9,5.94,1.0,1,Low
536,9,5.7,3.0,2,Low
537,10,5.63,6.0,4,Low
538,10,6.12,9.0,3,Low
539,10,6.54,13.0,4,Low
540,10,6.27,13.0,4,Low
541,10,7.01,16.0,3,Low
542,10,7.46,19.0,3,Low
543,11,6.56,22.0,4,Low
544,11,7.06,25.0,3,Low
545,11,7.24,29.0,4,Low
546,12,7.06,34.0,6,Low
547,12,7.76,39.0,5,Low
548,12,8.05,44.0,5,Low
549,12,7.14,45.0,5,Low
550,12,6.93,49.0,4,Low
551,12,6.71,53.0,4,Low
552,13,5.93,57.0,5,Low
553,13,5.98,61.0,4,Low
554,13,5.95,66.0,5,Low
555,13,6.07,71.0,5,Low
556,13,6.36,76.0,5,Low
557,13,6.54,81.0,5,Low
558,13,5.53,86.0,6,Low
559,13,6.28,91.0,5,Low
560,13,6.86,96.0,5,Low
561,13,6.86,101.0,6,Low
562,13,7.4,106.0,5,Low
563,13,7.22,111.0,6,Low
564,14,7.35,116.0,6,Low
565,13,8.03,90.0,4,Low
566,13,8.44,66.0,3,Low
567,14,8.61,46.0,3,Low
568,14,9.33,0.0,0,Low
569,13,10.35,0.0,0,Low
570,15,8.87,0.0,2,Low
571,15,9.32,1.0,1,Low
572,15,9.29,0.0,0,Low
573,15,8.83,1.0,2,Low
574,14,7.81,3.0,2,Low
575,13,7.63,5.0,2,Low
576,13,5.81,9.0,5,Low
577,12,5.31,9.0,5,Low
578,12,5.56,11.0,4,Low
579,13,5.39,16.0,6,Low
580,13,6.21,20.0,5,Low
581,13,6.45,25.0,5,Low
582,12,5.88,27.0,4,Low
583,11,5.46,31.0,4,Low
584,11,5.16,35.0,4,Low
585,12,4.41,40.0,6,Low
586,11,4.58,45.0,5,Low
587,11,4.31,50.0,5,Low
588,12,3.72,55.0,6,Low
589,12,4.19,45.0,5,Low
590,12,4.78,37.0,5,Low
591,13,4.79,39.0,5,Low
592,13,4.61,44.0,5,Low
593,13,4.7,49.0,5,Low
594,14,4.67,54.0,6,Low
595,14,5.29,59.0,5,Low
596,14,5.63,64.0,5,Low
597,13,5.58,69.0,5,Low
598,13,5.53,52.0,4,Low
599,13,6.07,41.0,3,Low
600,13,6.74,44.0,3,Low
601,13,6.92,47.0,3,Low
602,13,7.11,51.0,4,Low
603,13,6.7,53.0,4,Low
604,13,7.3,56.0,3,Low
605,12,7.67,59.0,3,Low
606,12,7.9,32.0,2,Low
607,12,8.49,16.0,1,Low
608,11,8.86,17.0,1,Low
609,11,9.65,0.0,0,Low
610,11,10.1,0.0,1,Low
611,12,9.34,1.0,2,Low
612,12,8.0,2.0,2,Low
613,12,8.91,0.0,0,Low
614,11,9.16,0.0,1,Low
615,12,9.48,0.0,1,Low
616,10,10.43,0.0,0,Low
617,10,10.18,0.0,1,Low
618,10,8.58,0.0,1,Low
619,10,8.57,0.0,0,Low
620,9,7.45,0.0,0,Low
621,8,3.27,0.0,1,Low
622,8,4.08,0.0,0,Low
623,7,4.87,0.0,0,Low
624,7,4.47,0.0,1,Low
625,7,5.37,0.0,0,Low
626,7,5.88,0.0,0,Low
627,7,5.55,0.0,1,Low
628,6,6.67,1.0,1,Low
629,6,7.0,2.0,1,Low
630,7,7.23,3.0,2,Low
631,7,8.47,4.0,1,Low
632,6,9.1,5.0,1,Low
633,7,8.61,0.0,1,Low
634,7,8.95,0.0,0,Low
635,5,10.27,0.0,0,Low
636,6,8.59,0.0,1,Low
637,7,8.15,0.0,1,Low
638,7,9.73,0.0,0,Low
639,7,8.97,0.0,1,Low
640,6,9.27,0.0,0,Low
641,6,10.15,0.0,0,Low
642,5,11.58,0.0,0,Low
643,4,11.45,0.0,0,Low
644,4,12.1,0.0,0,Low
645,5,9.4,0.0,1,Low
646,5,9.1,0.0,0,Low
647,6,8.6,0.0,1,Low
648,7,8.13,0.0,1,Low
649,7,9.53,0.0,0,Low
650,7,10.46,0.0,0,Low
651,8,10.04,0.0,1,Low
652,7,11.63,0.0,0,Low
653,7,12.25,0.0,0,Low
654,8,11.05,0.0,1,Low
655,8,11.43,1.0,1,Low
656,8,12.54,2.0,1,Low
657,9,11.11,3.0,2,Low
658,9,10.96,4.0,1,Low
659,9,11.29,5.0,1,Low
660,9,11.74,6.0,1,Low
661,9,10.63,7.0,1,Low
662,9,10.51,8.0,1,Low
663,9,9.57,0.0,1,Low
664,8,10.27,1.0,1,Low
665,9,9.54,0.0,1,Low
666,9,7.45,0.0,1,Low
667,8,9.09,0.0,0,Low
668,8,8.96,0.0,0,Low
669,8,9.17,0.0,0,Low
670,7,9.92,0.0,0,Low
671,7,9.7,0.0,0,Low
672,8,7.49,0.0,1,Low
673,8,7.1,1.0,1,Low
674,8,7.36,1.0,1,Low
675,9,7.0,2.0,2,Low
676,10,6.92,3.0,2,Low
677,8,7.61,5.0,2,Low
678,9,7.45,0.0,1,Low
679,7,8.54,0.0,0,Low
680,7,8.51,1.0,1,Low
681,7,8.06,3.0,2,Low
682,7,6.94,2.0,1,Low
683,7,6.2,4.0,2,Low
684,8,4.35,6.0,4,Low
685,8,4.93,8.0,2,Low
686,8,4.69,4.0,1,Low
687,9,4.78,5.0,2,Low
688,8,6.11,6.0,1,Low
689,8,7.18,7.0,1,Low
690,9,6.93,8.0,2,Low
691,9,7.57,0.0,0,Low
692,9,8.56,0.0,0,Low
693,8,9.92,0.0,0,Low
694,8,10.52,0.0,0,Low
695,8,10.47,0.0,0,Low
696,8,11.03,1.0,1,Low
697,8,11.81,2.0,1,Low
698,7,12.18,3.0,1,Low
699,9,9.62,4.0,3,Low
700,9,10.57,5.0,1,Low
701,9,11.32,6.0,1,Low
702,9,10.52,0.0,1,Low
703,8,11.84,0.0,0,Low
704,8,12.44,0.0,0,Low
705,8,10.38,0.0,1,Low
706,6,11.49,0.0,0,Low
707,6,12.29,0.0,0,Low
708,7,10.08,0.0,1,Low
709,7,10.57,0.0,0,Low
710,6,11.84,0.0,0,Low
711,7,10.46,0.0,1,Low
712,7,10.5,1.0,1,Low
713,7,10.79,2.0,1,Low
714,8,10.33,3.0,2,Low
715,8,11.52,4.0,1,Low
716,9,11.47,5.0,2,Low
717,10,11.3,7.0,3,Low
718,9,12.45,7.0,1,Low
719,9,13.61,8.0,1,Low
720,10,12.91,0.0,1,Low
721,10,14.11,0.0,0,Low
722,10,15.36,0.0,0,Low
723,11,14.78,0.0,1,Low
724,9,13.13,1.0,1,Low
725,9,12.68,0.0,0,Low
726,9,12.53,0.0,1,Low
727,9,13.1,0.0,0,Low
728,9,13.6,1.0,1,Low
729,9,14.11,2.0,2,Low
730,8,11.93,3.0,1,Low
731,8,11.86,4.0,1,Low
732,9,10.57,5.0,2,Low
733,9,11.05,6.0,1,Low
734,9,11.0,8.0,2,Low
735,9,11.71,0.0,0,Low
736,7,11.7,0.0,0,Low
737,6,14.23,0.0,0,Low
738,6,12.88,0.0,2,Low
739,6,13.62,0.0,0,Low
740,6,14.55,0.0,0,Low
741,7,13.12,0.0,1,Low
742,6,15.42,0.0,0,Low
743,6,15.52,0.0,0,Low
744,7,13.33,0.0,1,Low
745,7,14.02,0.0,0,Low
746,7,13.87,0.0,0,Low
747,7,13.35,0.0,1,Low
748,7,12.98,1.0,1,Low
749,7,13.21,2.0,1,Low
750,7,11.94,3.0,1,Low
751,7,11.34,4.0,1,Low
752,7,10.78,5.0,1,Low
753,7,9.32,6.0,2,Low
754,7,9.57,8.0,2,Low
755,8,8.28,8.0,2,Low
756,9,7.11,10.0,3,Low
757,8,8.15,11.0,2,Low
758,7,9.25,13.0,2,Low
759,8,8.41,15.0,3,Low
760,7,8.2,17.0,2,Low
761,7,8.76,19.0,2,Low
762,8,8.61,21.0,3,Low
763,7,9.54,23.0,2,Low
764,7,10.3,25.0,2,Low
765,8,9.12,27.0,3,Low
766,7,7.6,30.0,3,Low
767,7,7.84,33.0,3,Low
768,8,7.28,33.0,3,Low
769,8,7.24,35.0,2,Low
770,8,6.56,38.0,3,Low
771,8,5.99,41.0,4,Low
772,8,5.79,44.0,3,Low
773,8,6.18,47.0,3,Low
774,9,6.15,50.0,4,Low
775,9,5.89,53.0,3,Low
776,8,5.01,56.0,3,Low
777,9,4.77,59.0,4,Low
778,9,5.76,62.0,3,Low
779,7,2.85,65.0,3,Low
780,8,2.97,68.0,4,Low
781,8,2.75,71.0,3,Low
782,8,2.1,74.0,3,Low
783,9,2.08,42.0,4,Low
784,8,2.69,2.0,1,Low
785,8,2.98,1.0,1,Low
786,9,3.12,0.0,1,Low
787,9,3.66,0.0,0,Low
788,8,3.92,0.0,0,Low
789,8,3.96,0.0,1,Low
790,8,4.32,0.0,0,Low
791,8,5.95,0.0,0,Low
792,9,6.31,0.0,1,Low
793,8,7.19,0.0,0,Low
794,8,8.39,0.0,0,Low
795,9,8.38,0.0,1,Low
796,8,8.51,0.0,0,Low
797,8,9.49,1.0,1,Low
798,9,9.31,2.0,2,Low
799,9,10.22,3.0,1,Low
800,8,11.45,4.0,1,Low
801,9,10.66,0.0,1,Low
802,9,11.04,0.0,0,Low
803,9,11.81,0.0,0,Low
804,9,11.74,0.0,1,Low
805,9,12.02,0.0,0,Low
806,9,12.59,0.0,0,Low
807,9,14.08,0.0,0,Low
808,8,14.96,0.0,0,Low
809,8,15.49,0.0,0,Low
810,8,12.91,0.0,1,Low
811,8,14.1,0.0,0,Low
812,8,14.85,0.0,0,Low
813,9,12.56,0.0,2,Low
814,9,13.7,0.0,0,Low
815,8,14.75,0.0,0,Low
816,8,15.47,0.0,0,Low
817,8,15.86,0.0,0,Low
818,7,17.45,0.0,0,Low
819,9,14.01,0.0,2,Low
820,9,13.97,0.0,0,Low
821,9,14.42,0.0,0,Low
822,10,13.42,0.0,1,Low
823,10,14.3,0.0,0,Low
824,10,14.99,0.0,0,Low
825,9,15.91,0.0,0,Low
826,10,14.93,0.0,1,Low
827,10,15.69,0.0,0,Low
828,11,14.11,0.0,1,Low
829,11,13.64,1.0,1,Low
830,11,13.39,2.0,1,Low
831,12,12.59,3.0,2,Low
832,12,12.69,4.0,1,Low
833,12,13.02,5.0,1,Low
834,11,13.14,6.0,2,Low
835,10,12.34,7.0,1,Low
836,10,12.03,8.0,1,Low
837,11,10.96,9.0,2,Low
838,11,11.17,11.0,2,Low
839,10,10.78,14.0,3,Low
840,10,10.78,17.0,3,Low
841,9,8.24,20.0,4,Low
842,9,8.15,23.0,3,Low
843,9,8.27,26.0,3,Low
844,9,7.79,29.0,3,Low
845,9,7.35,32.0,3,Low
846,10,6.33,36.0,5,Low
847,10,6.27,40.0,4,Low
848,9,5.75,34.0,3,Low
849,9,6.31,33.0,2,Low
850,9,6.41,35.0,2,Low
851,10,5.46,37.0,3,Low
852,10,5.12,0.0,0,Low
853,10,4.77,0.0,1,Low
854,10,5.18,1.0,1,Low
855,10,6.29,2.0,1,Low
856,10,6.39,1.0,1,Low
857,10,6.95,2.0,2,Low
858,10,7.07,3.0,2,Low
859,10,7.84,4.0,1,Low
860,10,7.6,5.0,1,Low
861,10,7.38,6.0,2,Low
862,10,8.18,0.0,0,Low
863,10,9.25,0.0,0,Low
864,11,9.3,0.0,1,Low
865,10,9.56,1.0,1,Low
866,10,10.34,2.0,1,Low
867,9,10.46,3.0,1,Low
868,9,11.23,1.0,1,Low
869,8,9.74,2.0,2,Low
870,9,8.44,4.0,3,Low
871,10,7.83,0.0,1,Low
872,10,8.34,0.0,0,Low
873,10,8.16,0.0,1,Low
874,10,8.46,0.0,0,Low
875,10,8.49,0.0,0,Low
876,11,7.55,1.0,2,Low
877,11,8.0,1.0,1,Low
878,11,8.42,2.0,1,Low
879,11,9.01,3.0,1,Low
880,10,8.81,4.0,1,Low
881,9,7.77,0.0,0,Low
882,10,7.19,0.0,1,Low
883,9,8.22,0.0,0,Low
884,8,7.8,0.0,0,Low
885,8,7.36,0.0,1,Low
886,7,7.67,1.0,1,Low
887,7,7.6,0.0,0,Low
888,9,6.14,1.0,3,Low
889,8,6.15,3.0,2,Low
890,7,5.06,5.0,2,Low
891,8,5.09,4.0,2,Low
892,8,6.0,5.0,1,Low
893,8,5.85,6.0,1,Low
894,8,6.4,7.0,1,Low
895,7,5.23,8.0,2,Low
896,6,5.19,9.0,1,Low
897,7,5.59,10.0,2,Low
898,6,6.71,0.0,0,Low
899,6,7.26,0.0,0,Low
900,7,7.12,0.0,1,Low
901,7,7.91,0.0,0,Low
902,7,8.71,1.0,1,Low
903,7,9.52,2.0,1,Low
904,7,9.24,3.0,1,Low
905,7,8.74,0.0,0,Low
906,8,7.81,0.0,1,Low
907,8,8.29,0.0,0,Low
908,8,8.35,0.0,0,Low
909,9,7.69,0.0,1,Low
910,8,5.98,0.0,0,Low
911,8,6.51,0.0,0,Low
912,9,6.43,0.0,1,Low
913,9,7.26,0.0,0,Low
914,9,8.15,0.0,0,Low
915,9,9.21,0.0,0,Low
916,9,8.9,0.0,1,Low
917,9,9.71,1.0,1,Low
918,10,8.82,0.0,1,Low
919,10,9.67,0.0,0,Low
920,10,10.59,0.0,0,Low
921,11,9.64,0.0,2,Low
922,10,9.48,0.0,0,Low
923,10,10.21,0.0,0,Low
924,11,9.82,0.0,1,Low
925,10,10.49,0.0,0,Low
926,9,10.46,0.0,0,Low
927,10,9.58,1.0,2,Low
928,10,9.99,0.0,0,Low
929,9,9.22,0.0,0,Low
930,10,7.94,0.0,1,Low
931,9,9.16,0.0,0,Low
932,8,9.43,0.0,0,Low
933,8,6.82,0.0,1,Low
934,8,7.45,0.0,0,Low
935,8,7.64,0.0,0,Low
936,7,6.03,0.0,0,Low
937,7,7.4,0.0,0,Low
938,7,7.91,0.0,0,Low
939,7,7.3,0.0,1,Low
940,7,8.1,2.0,2,Low
941,5,8.97,2.0,1,Low
942,6,8.28,3.0,2,Low
943,6,9.26,0.0,0,Low
944,6,10.46,0.0,0,Low
945,8,7.67,0.0,2,Low
946,7,9.91,0.0,0,Low
947,7,10.45,0.0,0,Low
948,8,8.81,0.0,1,Low
949,8,9.31,0.0,0,Low
950,8,10.37,0.0,0,Low
951,6,11.56,0.0,1,Low
952,6,12.61,0.0,0,Low
953,5,10.0,0.0,0,Low
954,6,8.0,0.0,1,Low
955,6,8.15,0.0,0,Low
956,6,9.39,0.0,0,Low
957,7,7.92,0.0,1,Low
958,7,8.78,0.0,0,Low
959,7,8.74,0.0,0,Low
960,8,8.3,1.0,2,Low
961,8,8.74,2.0,1,Low
962,7,9.57,3.0,1,Low
963,8,8.95,4.0,2,Low
964,8,9.34,5.0,1,Low
965,8,9.38,6.0,1,Low
966,9,8.29,7.0,2,Low
967,9,8.87,0.0,0,Low
968,9,8.98,0.0,0,Low
969,9,8.36,0.0,1,Low
970,9,9.32,0.0,0,Low
971,9,9.9,0.0,0,Low
972,7,8.22,0.0,0,Low
973,8,7.46,0.0,1,Low
974,8,7.0,0.0,0,Low
975,8,6.54,0.0,1,Low
976,7,8.22,0.0,0,Low
977,6,9.14,0.0,0,Low
978,6,7.24,0.0,1,Low
979,6,8.6,0.0,0,Low
980,6,9.15,0.0,0,Low
981,7,9.03,0.0,1,Low
982,6,10.37,0.0,0,Low
983,5,8.09,0.0,0,Low
984,6,6.54,0.0,1,Low
985,5,7.5,0.0,0,Low
986,5,8.39,0.0,0,Low
987,6,6.58,0.0,1,Low
988,6,6.92,1.0,1,Low
989,6,7.69,2.0,1,Low
990,7,7.66,0.0,1,Low
991,7,7.95,0.0,0,Low
992,7,8.77,0.0,0,Low
993,8,8.31,1.0,2,Low
994,8,9.18,2.0,1,Low
995,7,9.04,3.0,1,Low
996,8,8.12,0.0,1,Low
997,8,8.59,0.0,0,Low
998,8,8.71,0.0,0,Low
999,9,8.25,0.0,1,Low
